Pathway,Entity type,Name,HGNC name,UniProt ID,ChEBI ID,Comment
Glycolysis,Metabolite,cAMP,not applicable,not applicable,CHEBI:17489,not available
Glycolysis,Metabolite,ATP,not applicable,not applicable,CHEBI:15422,not available
Glycolysis,Metabolite,α-D-glucose-6P,not applicable,not applicable,CHEBI:17665,not available
Glycolysis,Metabolite,β-D-fructose-6P,not applicable,not applicable,CHEBI:16084,not available
Glycolysis,Metabolite,"β-D-fructose-1,6P2",not applicable,not applicable,CHEBI:28013,not available
Glycolysis,Metabolite,"β-D-fructose-2,6P2",not applicable,not applicable,CHEBI:28602,not available
Glycolysis,Metabolite,PPi,not applicable,not applicable,CHEBI:33019,Diphosphate
Glycolysis,Protein,PKA reg,PRKAR1A,P10644,not applicable,"RIα, ubiquitous"
Glycolysis,Protein,PKA reg,PRKAR1B,P31321,not applicable,"RIβ, brain"
Glycolysis,Protein,PKA reg,PRKAR2A,P13861,not applicable,"RIIα, ubiquitous"
Glycolysis,Protein,PKA reg,PRKAR2B,P31323,not applicable,"RIIβ, brain and adipose tissue"
Glycolysis,Protein,PKA cat,PRKACA,P17612,not applicable,"Cα, ubiquitous"
Glycolysis,Protein,PKA cat,PRKACB,P22694,not applicable,"Cβ, ubiquitous, high in brain"
Glycolysis,Protein,PKA cat,PRKACG,P22612,not applicable,"Cγ, testis"
Glycolysis,Protein,GPI,GPI,P06744,not applicable,Glucose-6-phosphate isomerase
Glycolysis,Protein,FBP1/2,FBP1,P09467,not applicable,Liver and kidney isoform
Glycolysis,Protein,FBP1/2,FBP2,O00757,not applicable,Muscle isoform
Glycolysis,Protein,PFK1,PFKL,P17858,not applicable,Liver isoform
Glycolysis,Protein,PFK1,PFKM,P08237,not applicable,Muscle isoform
Glycolysis,Protein,PFK1,PFKP,Q01813,not applicable,Platelet and brain isoform
Glycolysis,Protein,ADCY,ADCY1,Q08828,not applicable,"Brain, Ca2+/calmodulin-stimulated"
Glycolysis,Protein,ADCY,ADCY2,Q08462,not applicable,"Brain and lung, Gβγ-stimulated"
Glycolysis,Protein,ADCY,ADCY3,O60266,not applicable,Olfactory neurons and adipocytes
Glycolysis,Protein,ADCY,ADCY4,Q8NFM4,not applicable,"Broad expression, Gβγ-stimulated"
Glycolysis,Protein,ADCY,ADCY5,O95622,not applicable,"Heart and striatum, Ca2+-inhibited"
Glycolysis,Protein,ADCY,ADCY6,O43306,not applicable,"Broad expression, Ca2+-inhibited"
Glycolysis,Protein,ADCY,ADCY7,P51828,not applicable,Immune cells
Glycolysis,Protein,ADCY,ADCY8,P40145,not applicable,"Brain, Ca2+/calmodulin-stimulated"
Glycolysis,Protein,ADCY,ADCY9,O60503,not applicable,"Broad expression, low forskolin response"
Glycolysis,Protein,PFKFB2,PFKFB2,O60825,not applicable,"Heart isoform, activated by PKA"
Glycolysis,Protein,PFKFB1,PFKFB1,P16118,not applicable,"Liver isoform, not on map"
Glycolysis,Protein,PFKFB3,PFKFB3,Q16875,not applicable,"Inducible isoform, not on map"
