Pathway,Entity type,Name,HGNC name,UniProt ID,ChEBI ID,Comment
Eicosanoids,Metabolite,arachidonic acid,not applicable,not applicable,CHEBI:15843,
Eicosanoids,Metabolite,PGG2,not applicable,not applicable,CHEBI:27647,Prostaglandin G2
Eicosanoids,Metabolite,phosphatidylcholine,not applicable,not applicable,CHEBI:64482,
Eicosanoids,Protein,COX1,PTGS1,P23219,not applicable,Constitutive cyclooxygenase
Eicosanoids,Protein,COX2,PTGS2,P35354,not applicable,Inducible cyclooxygenase
Eicosanoids,Protein,RAF1,RAF1,P04049,not applicable,Activates MEK1/2
Eicosanoids,Protein,MEK1,MAP2K1,Q02750,not applicable,Activates ERK1/2
Eicosanoids,Protein,MEK2,MAP2K2,P36507,not applicable,Activates ERK1/2
Eicosanoids,Protein,ERK1,MAPK3,P27361,not applicable,Phosphorylates cPLA2α
Eicosanoids,Protein,ERK2,MAPK1,P28482,not applicable,Phosphorylates cPLA2α
Eicosanoids,Protein,cPLA2,PLA2G4A,P47712,not applicable,"cPLA2α, main eicosanoid-producing isoform"
Eicosanoids,Protein,cPLA2,PLA2G4B,P0C869,not applicable,"cPLA2β, brain, heart and muscle"
Eicosanoids,Protein,cPLA2,PLA2G4C,Q9UP65,not applicable,"cPLA2γ, Ca2+-independent"
Eicosanoids,Protein,cPLA2,PLA2G4D,Q86XP0,not applicable,"cPLA2δ, skin"
Eicosanoids,Protein,cPLA2,PLA2G4E,Q3MJ16,not applicable,"cPLA2ε, brain, heart and testis"
Eicosanoids,Protein,cPLA2,PLA2G4F,Q68DD2,not applicable,"cPLA2ζ, skin and stomach"
Eicosanoids,Metabolite,PGH2,not applicable,not applicable,CHEBI:15554,"Prostaglandin H2, not on map"
