Pathway,Entity type,Name,HGNC name,UniProt ID,ChEBI ID,Comment
Mevalonate,Metabolite,Acetoacetyl-CoA,not applicable,not applicable,CHEBI:15345,not available
Mevalonate,Metabolite,Acetyl-CoA,not applicable,not applicable,CHEBI:15351,not available
Mevalonate,Metabolite,Ca2+,not applicable,not applicable,CHEBI:29108,not available
Mevalonate,Metabolite,Mevalonate,not applicable,not applicable,CHEBI:17710,not available
Mevalonate,Metabolite,HMG CoA,not applicable,not applicable,CHEBI:15467,3-hydroxy-3-methylglutaryl-CoA
Mevalonate,Protein,ACAT1,ACAT1,P24752,not applicable,Mitochondrial thiolase
Mevalonate,Protein,ACAT2,ACAT2,Q9BWD1,not applicable,Cytosolic thiolase
Mevalonate,Protein,AMPKα,PRKAA1,Q13131,not applicable,"α1, ubiquitous, dominant in liver"
Mevalonate,Protein,AMPKα,PRKAA2,P54646,not applicable,"α2, dominant in muscle and heart"
Mevalonate,Protein,AMPKβ,PRKAB1,Q9Y478,not applicable,"β1, ubiquitous, high in liver"
Mevalonate,Protein,AMPKβ,PRKAB2,O43741,not applicable,"β2, dominant in muscle"
Mevalonate,Protein,AMPKγ,PRKAG1,P54619,not applicable,"γ1, ubiquitous"
Mevalonate,Protein,AMPKγ,PRKAG2,Q9UGJ0,not applicable,"γ2, high in heart"
Mevalonate,Protein,AMPKγ,PRKAG3,Q9UGI9,not applicable,"γ3, skeletal muscle"
Mevalonate,Protein,CaM,CALM1,P0DP23,not applicable,"Identical calmodulin protein, ubiquitous"
Mevalonate,Protein,CaM,CALM2,P0DP24,not applicable,"Identical calmodulin protein, ubiquitous"
Mevalonate,Protein,CaM,CALM3,P0DP25,not applicable,"Identical calmodulin protein, ubiquitous"
Mevalonate,Protein,CaMKKß,CAMKK2,Q96RR4,not applicable,Ca2+/calmodulin-dependent AMPK kinase
Mevalonate,Protein,HMGCR,HMGCR,P04035,not applicable,"Rate-limiting enzyme, inhibited by AMPK"
Mevalonate,Protein,HMGCS1,HMGCS1,Q01581,not applicable,Cytosolic HMG-CoA synthase
Mevalonate,Protein,LKB1,STK11,Q15831,not applicable,AMPK upstream kinase
Mevalonate,Protein,MO25α,CAB39,Q9Y376,not applicable,LKB1 complex scaffold
Mevalonate,Protein,MO25β,CAB39L,Q9H9S4,not applicable,LKB1 complex scaffold
Mevalonate,Protein,PP2AC,PPP2CA,P67775,not applicable,"Cα, main catalytic isoform"
Mevalonate,Protein,PP2AC,PPP2CB,P62714,not applicable,"Cβ, minor catalytic isoform"
Mevalonate,Protein,PP2ARA,PPP2R1A,P30153,not applicable,"Aα, main scaffold isoform"
Mevalonate,Protein,PP2ARA,PPP2R1B,P30154,not applicable,"Aβ, minor scaffold isoform"
Mevalonate,Protein,PP2ARB,PPP2R2A,P63151,not applicable,"B55α, ubiquitous"
Mevalonate,Protein,PP2ARB,PPP2R2B,Q00005,not applicable,"B55β, brain"
Mevalonate,Protein,PP2C,PPM1A,P35813,not applicable,"PP2Cα, ubiquitous"
Mevalonate,Protein,PP2C,PPM1B,O75688,not applicable,"PP2Cβ, ubiquitous"
Mevalonate,Protein,STRADα,STRADA,Q7RTN6,not applicable,LKB1 complex pseudokinase
Mevalonate,Protein,STRADβ,STRADB,Q9C0K7,not applicable,LKB1 complex pseudokinase
Mevalonate,Protein,HMGCS2,HMGCS2,P54868,not applicable,"Mitochondrial HMG-CoA synthase, ketogenesis"
