Pathway,Entity type,Name,HGNC name,UniProt ID,ChEBI ID,Comment
"Glycogen, muscle and liver",Protein,ADCY,ADCY1,Q08828,not applicable,"Brain, Ca2+/calmodulin-stimulated"
"Glycogen, muscle and liver",Protein,ADCY,ADCY2,Q08462,not applicable,"Brain and lung, Gβγ-stimulated"
"Glycogen, muscle and liver",Protein,ADCY,ADCY3,O60266,not applicable,Olfactory neurons and adipocytes
"Glycogen, muscle and liver",Protein,ADCY,ADCY4,Q8NFM4,not applicable,"Broad expression, Gβγ-stimulated"
"Glycogen, muscle and liver",Protein,ADCY,ADCY5,O95622,not applicable,"Heart and striatum, Ca2+-inhibited"
"Glycogen, muscle and liver",Protein,ADCY,ADCY6,O43306,not applicable,"Broad expression, Ca2+-inhibited"
"Glycogen, muscle and liver",Protein,ADCY,ADCY7,P51828,not applicable,Immune cells
"Glycogen, muscle and liver",Protein,ADCY,ADCY8,P40145,not applicable,"Brain, Ca2+/calmodulin-stimulated"
"Glycogen, muscle and liver",Protein,ADCY,ADCY9,O60503,not applicable,"Broad expression, low forskolin response"
"Glycogen, muscle and liver",Protein,AKT1,AKT1,P31749,not applicable,Ubiquitous AKT isoform
"Glycogen, muscle and liver",Protein,Calmodulin,CALM1,P0DP23,not applicable,"Identical calmodulin protein, ubiquitous"
"Glycogen, muscle and liver",Protein,Calmodulin,CALM2,P0DP24,not applicable,"Identical calmodulin protein, ubiquitous"
"Glycogen, muscle and liver",Protein,Calmodulin,CALM3,P0DP25,not applicable,"Identical calmodulin protein, ubiquitous"
"Glycogen, liver",Protein,GCG,GCG,P01275,not applicable,"Glucagon, liver"
"Glycogen, liver",Protein,GCGR,GCGR,P47871,not applicable,"Glucagon receptor, liver"
"Glycogen, muscle and liver",Protein,GNA,GNAS,P63092,not applicable,Gsα subunit
"Glycogen, muscle and liver",Protein,GNB,GNB1,P62873,not applicable,"Gβ1, ubiquitous"
"Glycogen, muscle and liver",Protein,GNB,GNB2,P62879,not applicable,"Gβ2, ubiquitous"
"Glycogen, muscle and liver",Protein,GNB,GNB3,P16520,not applicable,"Gβ3, cone photoreceptors and heart"
"Glycogen, muscle and liver",Protein,GNB,GNB4,Q9HAV0,not applicable,"Gβ4, broad expression"
"Glycogen, muscle and liver",Protein,GNG,GNG2,P59768,not applicable,"Gγ2, brain and broad expression"
"Glycogen, muscle and liver",Protein,GNG,GNG3,P63215,not applicable,"Gγ3, neurons"
"Glycogen, muscle and liver",Protein,GNG,GNG4,P50150,not applicable,"Gγ4, brain"
"Glycogen, muscle and liver",Protein,GNG,GNG5,P63218,not applicable,"Gγ5, ubiquitous"
"Glycogen, muscle and liver",Protein,GNG,GNG7,O60262,not applicable,"Gγ7, striatum"
"Glycogen, muscle and liver",Protein,GNG,GNG8,Q9UK08,not applicable,"Gγ8, olfactory neurons"
"Glycogen, muscle and liver",Protein,GNG,GNG10,P50151,not applicable,"Gγ10, broad expression"
"Glycogen, muscle and liver",Protein,GNG,GNG11,P61952,not applicable,"Gγ11, broad expression"
