Pathway,Entity type,Name,HGNC name,UniProt ID,ChEBI ID,Comment
Cholesterol,Protein,SREBP2,SREBF2,Q12772,not applicable,Sterol-regulated transcription factor
Cholesterol,Protein,SCAP,SCAP,Q12770,not applicable,Sterol sensor and SREBP escort
Cholesterol,Protein,S1P,MBTPS1,Q14703,not applicable,"Site-1 protease, Golgi"
Cholesterol,Protein,S2P,MBTPS2,O43462,not applicable,"Site-2 protease, Golgi"
Cholesterol,Protein,INSIG1,INSIG1,O15503,not applicable,ER retention of SCAP
Cholesterol,Protein,INSIG2,INSIG2,Q9Y5U4,not applicable,ER retention of SCAP
Cholesterol,Protein,Sec23,SEC23A,Q15436,not applicable,"Sec23A, broad expression"
Cholesterol,Protein,Sec23,SEC23B,Q15437,not applicable,"Sec23B, erythroid and secretory cells"
Cholesterol,Protein,Sec24,SEC24A,O95486,not applicable,Sec24A cargo adaptor
Cholesterol,Protein,Sec24,SEC24B,O95487,not applicable,Sec24B cargo adaptor
Cholesterol,Protein,Sec24,SEC24C,P53992,not applicable,Sec24C cargo adaptor
Cholesterol,Protein,Sec24,SEC24D,O94855,not applicable,Sec24D cargo adaptor
Cholesterol,Protein,Sar1,SAR1A,Q9NR31,not applicable,"Sar1A, broad expression"
Cholesterol,Protein,Sar1,SAR1B,Q9Y6B6,not applicable,"Sar1B, intestinal lipoprotein export"
Cholesterol,Protein,Importin-β,KPNB1,Q14974,not applicable,Nuclear import of SREBP2
Cholesterol,Metabolite,Sterol,not applicable,not applicable,CHEBI:16113,Cholesterol
Cholesterol,Protein,LDLR,LDLR,P01130,not applicable,"SREBP2 target gene, not on map"
Cholesterol,Protein,HMGCR,HMGCR,P04035,not applicable,"SREBP2 target gene, not on map"
