Pathway,Entity type,Name,HGNC name,UniProt ID,ChEBI ID,Comment
iNOS,Metabolite,citrulline,not applicable,not applicable,CHEBI:16349,L-citrulline
iNOS,Metabolite,O2,not applicable,not applicable,CHEBI:15379,
iNOS,Metabolite,arginine,not applicable,not applicable,CHEBI:16467,L-arginine
iNOS,Metabolite,aspartate,not applicable,not applicable,CHEBI:17053,L-aspartate
iNOS,Metabolite,NO,not applicable,not applicable,CHEBI:16480,Nitric oxide
iNOS,Metabolite,argininosuccinate,not applicable,not applicable,CHEBI:15682,L-argininosuccinate
iNOS,Metabolite,fumarate,not applicable,not applicable,CHEBI:18012,
iNOS,Protein,JAK1,JAK1,P23458,not applicable,IFNγ receptor kinase
iNOS,Protein,JAK2,JAK2,O60674,not applicable,IFNγ receptor kinase
iNOS,Protein,IFNGR1,IFNGR1,P15260,not applicable,IFNγ receptor subunit 1
iNOS,Protein,IFNGR2,IFNGR2,P38484,not applicable,IFNγ receptor subunit 2
iNOS,Protein,IFNG,IFNG,P01579,not applicable,Interferon γ
iNOS,Protein,CaM,CALM1,P0DP23,not applicable,"Identical calmodulin protein, ubiquitous"
iNOS,Protein,CaM,CALM2,P0DP24,not applicable,"Identical calmodulin protein, ubiquitous"
iNOS,Protein,CaM,CALM3,P0DP25,not applicable,"Identical calmodulin protein, ubiquitous"
iNOS,Protein,ASS1,ASS1,P00966,not applicable,Argininosuccinate synthase
iNOS,Protein,ASL,ASL,P04424,not applicable,Argininosuccinate lyase
iNOS,Protein,iNOS,NOS2,P35228,not applicable,"Inducible NOS, macrophages"
iNOS,Protein,IRF1,IRF1,P10914,not applicable,IFNγ-induced transcription factor
iNOS,Protein,STAT1,STAT1,P42224,not applicable,IFNγ-activated transcription factor
