Pathway,Entity type,Name,HGNC name,UniProt ID,ChEBI ID,Comment
Phosphoinositide,Metabolite,"PI(3,4)P2",not applicable,not applicable,CHEBI:16152,"Phosphatidylinositol 3,4-bisphosphate"
Phosphoinositide,Metabolite,"PI(3,4,5)P3",not applicable,not applicable,CHEBI:16618,"Phosphatidylinositol 3,4,5-trisphosphate"
Phosphoinositide,Metabolite,"PI(4,5)P2",not applicable,not applicable,CHEBI:18348,"Phosphatidylinositol 4,5-bisphosphate"
Phosphoinositide,Metabolite,PI4P,not applicable,not applicable,CHEBI:17526,Phosphatidylinositol 4-phosphate
Phosphoinositide,Metabolite,PI3P,not applicable,not applicable,CHEBI:26034,Phosphatidylinositol 3-phosphate
Phosphoinositide,Protein,GAB1,GAB1,Q13480,not applicable,Adaptor recruiting PI3K
Phosphoinositide,Protein,GRB2,GRB2,P62993,not applicable,Adaptor protein
Phosphoinositide,Protein,EGF,EGF,P01133,not applicable,Epidermal growth factor
Phosphoinositide,Protein,EGFR,EGFR,P00533,not applicable,EGF receptor
Phosphoinositide,Protein,INPP5F,INPP5F,Q9Y2H2,not applicable,Phosphoinositide phosphatase
Phosphoinositide,Protein,PTEN,PTEN,P60484,not applicable,"PI(3,4,5)P3 3-phosphatase"
Phosphoinositide,Protein,INPP5B,INPP5B,P32019,not applicable,Phosphoinositide 5-phosphatase
Phosphoinositide,Protein,PI3Kα,PIK3CA,P42336,not applicable,p110α catalytic subunit
Phosphoinositide,Protein,INPP4A,INPP4A,Q96PE3,not applicable,"PI(3,4)P2 4-phosphatase"
Phosphoinositide,Protein,INPP4B,INPP4B,O15327,not applicable,"PI(3,4)P2 4-phosphatase"
Phosphoinositide,Protein,SHIP1,INPP5D,Q92835,not applicable,"PI(3,4,5)P3 5-phosphatase, haematopoietic cells"
Phosphoinositide,Protein,SHIP2,INPPL1,O15357,not applicable,"PI(3,4,5)P3 5-phosphatase, ubiquitous"
Phosphoinositide,Protein,SYNJ1,SYNJ1,O43426,not applicable,"Phosphoinositide phosphatase, neurons"
Phosphoinositide,Protein,SYNJ2,SYNJ2,O15056,not applicable,Phosphoinositide phosphatase
