Pathway,Entity type,Name,HGNC name,UniProt ID,ChEBI ID,Comment
cAMP,Metabolite,"PI(3,4,5)P3",not applicable,not applicable,CHEBI:16618,"Phosphatidylinositol 3,4,5-trisphosphate"
cAMP,Metabolite,"PI(4,5)P2",not applicable,not applicable,CHEBI:18348,"Phosphatidylinositol 4,5-bisphosphate"
cAMP,Metabolite,AMP,not applicable,not applicable,CHEBI:16027,
cAMP,Metabolite,cAMP,not applicable,not applicable,CHEBI:17489,
cAMP,Protein,AKT,AKT1,P31749,not applicable,"Ubiquitous, growth and survival"
cAMP,Protein,AKT,AKT2,P31751,not applicable,"Insulin-responsive tissues, glucose metabolism"
cAMP,Protein,AKT,AKT3,Q9Y243,not applicable,Brain
cAMP,Protein,PDE3B,PDE3B,Q13370,not applicable,"cAMP phosphodiesterase, adipocytes and liver"
cAMP,Protein,PDK1,PDPK1,O15530,not applicable,Activates AKT (Thr308)
cAMP,Protein,PI3K,PIK3CA,P42336,not applicable,"p110α catalytic, main insulin-signalling isoform"
cAMP,Protein,PI3K,PIK3CB,P42338,not applicable,"p110β catalytic, ubiquitous"
cAMP,Protein,PI3K,PIK3CD,O00329,not applicable,"p110δ catalytic, leukocytes"
cAMP,Protein,PI3K,PIK3R1,P27986,not applicable,"p85α regulatory, most abundant"
cAMP,Protein,PI3K,PIK3R2,O00459,not applicable,"p85β regulatory, broad expression"
cAMP,Protein,PI3K,PIK3R3,Q92569,not applicable,"p55γ regulatory, brain and testis"
cAMP,Protein,PKA,PRKACA,P17612,not applicable,"Cα, ubiquitous"
cAMP,Protein,PKA,PRKACB,P22694,not applicable,"Cβ, ubiquitous, high in brain"
cAMP,Protein,PKA,PRKACG,P22612,not applicable,"Cγ, testis"
