Pathway,Entity type,Name,HGNC name,UniProt ID,ChEBI ID,Comment
Acyl-carnitine,Metabolite,acetyl-CoA,not applicable,not applicable,CHEBI:15351,not available
Acyl-carnitine,Metabolite,acyl-CoA,not applicable,not applicable,CHEBI:17984,not available
Acyl-carnitine,Metabolite,acyl-L-carnitine,not applicable,not applicable,CHEBI:75659,not available
Acyl-carnitine,Metabolite,AMP,not applicable,not applicable,CHEBI:16027,not available
Acyl-carnitine,Metabolite,L-carnitine,not applicable,not applicable,CHEBI:16347,(R)-carnitine
Acyl-carnitine,Metabolite,malonyl-CoA,not applicable,not applicable,CHEBI:15531,not available
Acyl-carnitine,Protein,ACACB,ACACB,O00763,not applicable,"Acetyl-CoA carboxylase 2, muscle and heart"
Acyl-carnitine,Protein,AMPKα,PRKAA1,Q13131,not applicable,"α1, ubiquitous, dominant in liver"
Acyl-carnitine,Protein,AMPKα,PRKAA2,P54646,not applicable,"α2, dominant in muscle and heart"
Acyl-carnitine,Protein,AMPKβ,PRKAB1,Q9Y478,not applicable,"β1, ubiquitous, high in liver"
Acyl-carnitine,Protein,AMPKβ,PRKAB2,O43741,not applicable,"β2, dominant in muscle"
Acyl-carnitine,Protein,AMPKγ,PRKAG1,P54619,not applicable,"γ1, ubiquitous"
Acyl-carnitine,Protein,AMPKγ,PRKAG2,Q9UGJ0,not applicable,"γ2, high in heart"
Acyl-carnitine,Protein,AMPKγ,PRKAG3,Q9UGI9,not applicable,"γ3, skeletal muscle"
Acyl-carnitine,Protein,CPT1,CPT1A,P50416,not applicable,Liver isoform
Acyl-carnitine,Protein,CPT1,CPT1B,Q92523,not applicable,Muscle and heart isoform
Acyl-carnitine,Protein,CPT1,CPT1C,Q8TCG5,not applicable,"Brain isoform, low activity"
Acyl-carnitine,Protein,LKB1,STK11,Q15831,not applicable,AMPK upstream kinase
Acyl-carnitine,Protein,MO25,CAB39,Q9Y376,not applicable,"MO25α, ubiquitous"
Acyl-carnitine,Protein,MO25,CAB39L,Q9H9S4,not applicable,"MO25β, broad expression"
Acyl-carnitine,Protein,PKA,PRKACA,P17612,not applicable,"Cα, ubiquitous"
Acyl-carnitine,Protein,PKA,PRKACB,P22694,not applicable,"Cβ, ubiquitous, high in brain"
Acyl-carnitine,Protein,PKA,PRKACG,P22612,not applicable,"Cγ, testis"
Acyl-carnitine,Protein,STRAD,STRADA,Q7RTN6,not applicable,"STRADα, main LKB1 partner"
Acyl-carnitine,Protein,STRAD,STRADB,Q9C0K7,not applicable,"STRADβ, broad expression"
Acyl-carnitine,Protein,PKA reg,PRKAR1A,P10644,not applicable,"RIα, ubiquitous"
Acyl-carnitine,Protein,PKA reg,PRKAR1B,P31321,not applicable,"RIβ, brain"
Acyl-carnitine,Protein,PKA reg,PRKAR2A,P13861,not applicable,"RIIα, ubiquitous"
Acyl-carnitine,Protein,PKA reg,PRKAR2B,P31323,not applicable,"RIIβ, brain and adipose tissue"
Acyl-carnitine,Metabolite,cAMP,not applicable,not applicable,CHEBI:17489,not available
