Pathway,Entity type,Name,HGNC name,UniProt ID,ChEBI ID,Comment
Triacylglycerol,Metabolite,triacylglycerol,not applicable,not applicable,CHEBI:17855,not available
Triacylglycerol,Metabolite,cAMP,not applicable,not applicable,CHEBI:17489,not available
Triacylglycerol,Metabolite,cGMP,not applicable,not applicable,CHEBI:16356,not available
Triacylglycerol,Metabolite,fatty acids,not applicable,not applicable,CHEBI:35366,Generic
Triacylglycerol,Metabolite,glycerol,not applicable,not applicable,CHEBI:17754,not available
Triacylglycerol,Protein,HSL,LIPE,Q05469,not applicable,Hormone-sensitive lipase
Triacylglycerol,Protein,Perilipin 1,PLIN1,O60240,not applicable,"Lipid droplet coat, adipocytes"
Triacylglycerol,Protein,PKA cat,PRKACA,P17612,not applicable,"Cα, ubiquitous"
Triacylglycerol,Protein,PKA cat,PRKACB,P22694,not applicable,"Cβ, ubiquitous, high in brain"
Triacylglycerol,Protein,PKA cat,PRKACG,P22612,not applicable,"Cγ, testis"
Triacylglycerol,Protein,PKA reg,PRKAR1A,P10644,not applicable,"RIα, ubiquitous"
Triacylglycerol,Protein,PKA reg,PRKAR1B,P31321,not applicable,"RIβ, brain"
Triacylglycerol,Protein,PKA reg,PRKAR2A,P13861,not applicable,"RIIα, ubiquitous"
Triacylglycerol,Protein,PKA reg,PRKAR2B,P31323,not applicable,"RIIβ, brain and adipose tissue"
Triacylglycerol,Protein,PKG1,PRKG1,Q13976,not applicable,cGMP-dependent kinase
Triacylglycerol,Protein,ATGL,PNPLA2,Q96AD5,not applicable,"First lipolysis step, not on map"
Triacylglycerol,Protein,CGI-58,ABHD5,Q8WTS1,not applicable,"ATGL co-activator, not on map"
Triacylglycerol,Protein,MGL,MGLL,Q99685,not applicable,"Last lipolysis step, not on map"
