Pathway,Entity type,Name,HGNC name,UniProt ID,ChEBI ID,Comment
Estradiol,Metabolite,PPi,not applicable,not applicable,CHEBI:33019,Diphosphate
Estradiol,Metabolite,pregnenolone,not applicable,not applicable,CHEBI:16581,
Estradiol,Metabolite,prostaglandin E2,not applicable,not applicable,CHEBI:15551,PGE2
Estradiol,Metabolite,ADP,not applicable,not applicable,CHEBI:16761,
Estradiol,Metabolite,ATP,not applicable,not applicable,CHEBI:15422,
Estradiol,Metabolite,cAMP,not applicable,not applicable,CHEBI:17489,
Estradiol,Metabolite,cholesterol,not applicable,not applicable,CHEBI:16113,
Estradiol,Protein,ADCY,ADCY1,Q08828,not applicable,"Brain, Ca2+/calmodulin-stimulated"
Estradiol,Protein,ADCY,ADCY2,Q08462,not applicable,"Brain and lung, Gβγ-stimulated"
Estradiol,Protein,ADCY,ADCY3,O60266,not applicable,Olfactory neurons and adipocytes
Estradiol,Protein,ADCY,ADCY4,Q8NFM4,not applicable,"Broad expression, Gβγ-stimulated"
Estradiol,Protein,ADCY,ADCY5,O95622,not applicable,"Heart and striatum, Ca2+-inhibited"
Estradiol,Protein,ADCY,ADCY6,O43306,not applicable,"Broad expression, Ca2+-inhibited"
Estradiol,Protein,ADCY,ADCY7,P51828,not applicable,Immune cells
Estradiol,Protein,ADCY,ADCY8,P40145,not applicable,"Brain, Ca2+/calmodulin-stimulated"
Estradiol,Protein,ADCY,ADCY9,O60503,not applicable,"Broad expression, low forskolin response"
Estradiol,Protein,CREB,CREB1,P16220,not applicable,cAMP-responsive transcription factor
Estradiol,Protein,CRTC2,CRTC2,Q53ET0,not applicable,CREB co-activator
Estradiol,Protein,EP2,PTGER2,P43116,not applicable,PGE2 receptor
Estradiol,Protein,Gsα,GNAS,P63092,not applicable,Gsα subunit
Estradiol,Protein,Gsβ,GNB1,P62873,not applicable,"Gβ1, ubiquitous"
Estradiol,Protein,Gsβ,GNB2,P62879,not applicable,"Gβ2, ubiquitous"
Estradiol,Protein,Gsβ,GNB3,P16520,not applicable,"Gβ3, cone photoreceptors and heart"
Estradiol,Protein,Gsβ,GNB4,Q9HAV0,not applicable,"Gβ4, broad expression"
Estradiol,Protein,Gsγ,GNG2,P59768,not applicable,"Gγ2, brain and broad expression"
Estradiol,Protein,Gsγ,GNG3,P63215,not applicable,"Gγ3, neurons"
Estradiol,Protein,Gsγ,GNG4,P50150,not applicable,"Gγ4, brain"
Estradiol,Protein,Gsγ,GNG5,P63218,not applicable,"Gγ5, ubiquitous"
Estradiol,Protein,Gsγ,GNG7,O60262,not applicable,"Gγ7, striatum"
Estradiol,Protein,Gsγ,GNG8,Q9UK08,not applicable,"Gγ8, olfactory neurons"
Estradiol,Protein,Gsγ,GNG10,P50151,not applicable,"Gγ10, broad expression"
Estradiol,Protein,Gsγ,GNG11,P61952,not applicable,"Gγ11, broad expression"
Estradiol,Protein,Gsγ,GNG12,Q9UBI6,not applicable,"Gγ12, broad expression"
Estradiol,Protein,Gsγ,GNG13,Q9P2W3,not applicable,"Gγ13, taste and retinal cells"
Estradiol,Protein,P450scc,CYP11A1,P05108,not applicable,Cholesterol side-chain cleavage
Estradiol,Protein,PKA cat,PRKACA,P17612,not applicable,"Cα, ubiquitous"
Estradiol,Protein,PKA cat,PRKACB,P22694,not applicable,"Cβ, ubiquitous, high in brain"
Estradiol,Protein,PKA cat,PRKACG,P22612,not applicable,"Cγ, testis"
Estradiol,Protein,PKA reg,PRKAR1A,P10644,not applicable,"RIα, ubiquitous"
Estradiol,Protein,PKA reg,PRKAR1B,P31321,not applicable,"RIβ, brain"
Estradiol,Protein,PKA reg,PRKAR2A,P13861,not applicable,"RIIα, ubiquitous"
Estradiol,Protein,PKA reg,PRKAR2B,P31323,not applicable,"RIIβ, brain and adipose tissue"
Estradiol,Protein,StAR,STAR,P49675,not applicable,Mitochondrial cholesterol transport
Estradiol,Protein,CYP17A1,CYP17A1,P05093,not applicable,"Pregnenolone to DHEA, not on map"
Estradiol,Protein,HSD3B2,HSD3B2,P26439,not applicable,"DHEA to androstenedione, not on map"
Estradiol,Protein,CYP19A1,CYP19A1,P11511,not applicable,"Aromatase, not on map"
Estradiol,Protein,HSD17B1,HSD17B1,P14061,not applicable,"Estrone to estradiol, not on map"
Estradiol,Metabolite,estradiol,not applicable,not applicable,CHEBI:16469,"17β-estradiol, not on map"
