Pathway,Entity type,Name,HGNC name,UniProt ID,ChEBI ID,Comment
Glutaminolysis,Protein,PKCε,PRKCE,Q02156,not applicable,Phosphorylates GAC
Glutaminolysis,Protein,NF-κB,NFKB1,P19838,not applicable,"p50 precursor, canonical pathway"
Glutaminolysis,Protein,NF-κB,NFKB2,Q00653,not applicable,"p52 precursor, non-canonical pathway"
Glutaminolysis,Protein,NF-κB,RELA,Q04206,not applicable,"p65, canonical pathway"
Glutaminolysis,Protein,NF-κB,RELB,Q01201,not applicable,Non-canonical pathway
Glutaminolysis,Protein,NF-κB,REL,Q04864,not applicable,"c-Rel, lymphoid and myeloid cells"
Glutaminolysis,Protein,GAC,GLS,O94925,not applicable,"Glutaminase C, GLS splice isoform"
Glutaminolysis,Metabolite,glutamine,not applicable,not applicable,CHEBI:18050,L-glutamine
Glutaminolysis,Metabolite,NH3,not applicable,not applicable,CHEBI:16134,Ammonia
Glutaminolysis,Metabolite,ATP,not applicable,not applicable,CHEBI:15422,not available
Glutaminolysis,Metabolite,H2O,not applicable,not applicable,CHEBI:15377,not available
Glutaminolysis,Metabolite,ADP,not applicable,not applicable,CHEBI:16761,not available
Glutaminolysis,Metabolite,glutamate,not applicable,not applicable,CHEBI:16015,L-glutamate
