Pathway,Entity type,Name,HGNC name,UniProt ID,ChEBI ID,Comment
Pyrimidine,Metabolite,ATP,not applicable,not applicable,CHEBI:15422,
Pyrimidine,Metabolite,ADP,not applicable,not applicable,CHEBI:16761,
Pyrimidine,Metabolite,glutamate,not applicable,not applicable,CHEBI:16015,L-glutamate
Pyrimidine,Metabolite,glutamine,not applicable,not applicable,CHEBI:18050,L-glutamine
Pyrimidine,Metabolite,Pi,not applicable,not applicable,CHEBI:43474,Inorganic phosphate
Pyrimidine,Metabolite,carbamoyl-P,not applicable,not applicable,CHEBI:17672,Carbamoyl phosphate
Pyrimidine,Metabolite,HCO3-,not applicable,not applicable,CHEBI:17544,Bicarbonate
Pyrimidine,Protein,ERK1,MAPK3,P27361,not applicable,Phosphorylates CAD
Pyrimidine,Protein,ERK2,MAPK1,P28482,not applicable,Phosphorylates CAD
Pyrimidine,Protein,CAD,CAD,P27708,not applicable,First steps of pyrimidine synthesis
Pyrimidine,Metabolite,UTP,not applicable,not applicable,CHEBI:15713,"CAD feedback inhibitor, not on map"
