Pathway,Entity type,Name,HGNC name,UniProt ID,ChEBI ID,Comment
ASS1 ubiquitination,Metabolite,Acetyl-CoA,not applicable,not applicable,CHEBI:15351,
ASS1 ubiquitination,Metabolite,L-glutamate,not applicable,not applicable,CHEBI:16015,
ASS1 ubiquitination,Metabolite,N-acetylglutamate,not applicable,not applicable,CHEBI:17533,"N-acetyl-L-glutamate, CPS1 activator"
ASS1 ubiquitination,Metabolite,CoA,not applicable,not applicable,CHEBI:15346,Coenzyme A
ASS1 ubiquitination,Metabolite,Aspartate,not applicable,not applicable,CHEBI:17053,L-aspartate
ASS1 ubiquitination,Metabolite,ATP,not applicable,not applicable,CHEBI:15422,
ASS1 ubiquitination,Metabolite,ADP,not applicable,not applicable,CHEBI:16761,
ASS1 ubiquitination,Metabolite,AMP,not applicable,not applicable,CHEBI:16027,
ASS1 ubiquitination,Metabolite,NH4+,not applicable,not applicable,CHEBI:28938,Ammonium
ASS1 ubiquitination,Metabolite,HCO3-,not applicable,not applicable,CHEBI:17544,Bicarbonate
ASS1 ubiquitination,Metabolite,Pi,not applicable,not applicable,CHEBI:43474,Inorganic phosphate
ASS1 ubiquitination,Metabolite,PPi,not applicable,not applicable,CHEBI:33019,Diphosphate
ASS1 ubiquitination,Metabolite,Carbamoyl phosphate,not applicable,not applicable,CHEBI:17672,
ASS1 ubiquitination,Metabolite,L-ornithine,not applicable,not applicable,CHEBI:15729,
ASS1 ubiquitination,Metabolite,L-citrulline,not applicable,not applicable,CHEBI:16349,
ASS1 ubiquitination,Metabolite,Argininosuccinate,not applicable,not applicable,CHEBI:15682,
ASS1 ubiquitination,Metabolite,Fumarate,not applicable,not applicable,CHEBI:18012,
ASS1 ubiquitination,Metabolite,L-arginine,not applicable,not applicable,CHEBI:16467,
ASS1 ubiquitination,Metabolite,Urea,not applicable,not applicable,CHEBI:16199,
ASS1 ubiquitination,Protein,NAGS,NAGS,Q8N159,not applicable,N-acetylglutamate synthase
ASS1 ubiquitination,Protein,CPS1,CPS1,P31327,not applicable,Carbamoyl-phosphate synthase 1
ASS1 ubiquitination,Protein,OTC,OTC,P00480,not applicable,Ornithine transcarbamylase
ASS1 ubiquitination,Protein,SLC25A15,SLC25A15,Q9Y619,not applicable,Mitochondrial ornithine carrier
ASS1 ubiquitination,Protein,SLC25A13,SLC25A13,Q9UJS0,not applicable,Mitochondrial aspartate/glutamate carrier
ASS1 ubiquitination,Protein,ASS1,ASS1,P00966,not applicable,Argininosuccinate synthase
ASS1 ubiquitination,Protein,ASL,ASL,P04424,not applicable,Argininosuccinate lyase
ASS1 ubiquitination,Protein,ARG1,ARG1,P05089,not applicable,Arginase 1
ASS1 ubiquitination,Protein,SNAI1,SNAI1,O95863,not applicable,Transcription factor
ASS1 ubiquitination,Protein,TRAF2,TRAF2,Q12933,not applicable,E3 ubiquitin ligase
ASS1 ubiquitination,Protein,LRPPRC,LRPPRC,P42704,not applicable,TRAF2 complex partner
ASS1 ubiquitination,Protein,Ub,UBB,P0CG47,not applicable,"Polyubiquitin, stress-inducible"
ASS1 ubiquitination,Protein,Ub,UBC,P0CG48,not applicable,"Polyubiquitin, stress-inducible"
ASS1 ubiquitination,Protein,Ub,UBA52,P62987,not applicable,Ubiquitin-L40 fusion
ASS1 ubiquitination,Protein,Ub,RPS27A,P62979,not applicable,Ubiquitin-S27a fusion
ASS1 ubiquitination,Protein,Proteosome,--,--,not applicable,"26S proteasome, generic"
ASS1 ubiquitination,RNA,LOC113230,--,--,not applicable,NCBI Gene 113230 (HGNC MISP3)
