Pathway,Entity type,Name,HGNC name,UniProt ID,ChEBI ID,Comment
Acetyl-CoA,Metabolite,Pi,not applicable,not applicable,CHEBI:43474,Inorganic phosphate
Acetyl-CoA,Metabolite,CoA,not applicable,not applicable,CHEBI:15346,Coenzyme A
Acetyl-CoA,Metabolite,citrate,not applicable,not applicable,CHEBI:30769,not available
Acetyl-CoA,Metabolite,acetyl-CoA,not applicable,not applicable,CHEBI:15351,not available
Acetyl-CoA,Metabolite,ATP,not applicable,not applicable,CHEBI:15422,not available
Acetyl-CoA,Metabolite,oxaloacetate,not applicable,not applicable,CHEBI:30744,not available
Acetyl-CoA,Metabolite,ADP,not applicable,not applicable,CHEBI:16761,not available
Acetyl-CoA,Protein,Akt,AKT1,P31749,not applicable,"Ubiquitous, growth and survival"
Acetyl-CoA,Protein,Akt,AKT2,P31751,not applicable,"Insulin-responsive tissues, glucose metabolism"
Acetyl-CoA,Protein,Akt,AKT3,Q9Y243,not applicable,Brain
Acetyl-CoA,Protein,ACLY,ACLY,P53396,not applicable,ATP-citrate lyase
Acetyl-CoA,Protein,SREBP-1,SREBF1,P36956,not applicable,Lipogenic transcription factor
Acetyl-CoA,Protein,PI3K,PIK3CA,P42336,not applicable,"p110α catalytic, main insulin-signalling isoform"
Acetyl-CoA,Protein,PI3K,PIK3CB,P42338,not applicable,"p110β catalytic, ubiquitous"
Acetyl-CoA,Protein,PI3K,PIK3CD,O00329,not applicable,"p110δ catalytic, leukocytes"
Acetyl-CoA,Protein,PI3K,PIK3R1,P27986,not applicable,"p85α regulatory, most abundant"
Acetyl-CoA,Protein,PI3K,PIK3R2,O00459,not applicable,"p85β regulatory, broad expression"
Acetyl-CoA,Protein,PI3K,PIK3R3,Q92569,not applicable,"p55γ regulatory, brain and testis"
Acetyl-CoA,Protein,RTK,--,--,not applicable,"Receptor tyrosine kinase, generic"
