Pathway,Entity type,Name,HGNC name,UniProt ID,ChEBI ID,Comment
eNOS,Protein,AKT-1,AKT1,P31749,not applicable,Activates eNOS (Ser1177)
eNOS,Protein,CaM,CALM1,P0DP23,not applicable,"Identical calmodulin protein, ubiquitous"
eNOS,Protein,CaM,CALM2,P0DP24,not applicable,"Identical calmodulin protein, ubiquitous"
eNOS,Protein,CaM,CALM3,P0DP25,not applicable,"Identical calmodulin protein, ubiquitous"
eNOS,Protein,CAV1,CAV1,Q03135,not applicable,Caveolar eNOS inhibitor
eNOS,Protein,CYGB,CYGB,Q8WWM9,not applicable,"Cytoglobin, NO scavenger"
eNOS,Protein,DDAH1,DDAH1,O94760,not applicable,Hydrolyses ADMA
eNOS,Protein,DDAH2,DDAH2,O95865,not applicable,DDAH paralogue without ADMA activity
eNOS,Protein,DNM2,DNM2,P50570,not applicable,"Dynamin 2, eNOS trafficking"
eNOS,Protein,eNOS,NOS3,P29474,not applicable,Endothelial NOS
eNOS,Protein,p-SPR,SPR,P35270,not applicable,Sepiapterin reductase
eNOS,Protein,N-WASP,WASL,O00401,not applicable,eNOS trafficking partner
eNOS,Protein,NOSTRIN,NOSTRIN,Q8IVI9,not applicable,eNOS trafficking partner
eNOS,Protein,HSP90,HSP90AA1,P07900,not applicable,"HSP90α, stress-inducible"
eNOS,Protein,HSP90,HSP90AB1,P08238,not applicable,"HSP90β, constitutive"
eNOS,Metabolite,ADMA,not applicable,not applicable,CHEBI:17929,Asymmetric dimethylarginine
eNOS,Metabolite,DMA,not applicable,not applicable,CHEBI:17170,Dimethylamine
eNOS,Metabolite,BH2,not applicable,not applicable,CHEBI:15375,Dihydrobiopterin
eNOS,Metabolite,BH4,not applicable,not applicable,CHEBI:15372,Tetrahydrobiopterin
eNOS,Metabolite,H+,not applicable,not applicable,CHEBI:15378,
eNOS,Metabolite,H2O,not applicable,not applicable,CHEBI:15377,
eNOS,Metabolite,L-arginine,not applicable,not applicable,CHEBI:16467,
eNOS,Metabolite,L-citrulline,not applicable,not applicable,CHEBI:16349,
eNOS,Metabolite,NADP+,not applicable,not applicable,CHEBI:18009,
eNOS,Metabolite,NADPH,not applicable,not applicable,CHEBI:16474,
eNOS,Metabolite,NO,not applicable,not applicable,CHEBI:16480,Nitric oxide
eNOS,Metabolite,NO3-,not applicable,not applicable,CHEBI:17632,Nitrate
eNOS,Metabolite,O2,not applicable,not applicable,CHEBI:15379,
eNOS,Metabolite,O2-,not applicable,not applicable,CHEBI:18421,Superoxide
eNOS,Metabolite,peroxynitrite,not applicable,not applicable,CHEBI:25941,ONOO-
eNOS,Metabolite,sepiapterin,not applicable,not applicable,CHEBI:16095,
eNOS,Metabolite,ADP,not applicable,not applicable,CHEBI:16761,
eNOS,Metabolite,ATP,not applicable,not applicable,CHEBI:15422,
eNOS,Protein,GCH1,GCH1,P30793,not applicable,"BH4 synthesis, not on map"
eNOS,Protein,DHFR,DHFR,P00374,not applicable,"BH4 regeneration, not on map"
eNOS,Protein,PRMT1,PRMT1,Q99873,not applicable,"ADMA formation, not on map"
